Date,Confirmed,Recovered,Deaths
1/22/2020,555,28,17
1/23/2020,654,30,18
1/24/2020,941,36,26
1/25/2020,1434,39,42
1/26/2020,2118,52,56
1/27/2020,2927,61,82
1/28/2020,5578,107,131
1/29/2020,6166,126,133
1/30/2020,8234,143,171
1/31/2020,9927,222,213
2/1/2020,12038,284,259
2/2/2020,16787,472,362
2/3/2020,19881,623,426
2/4/2020,23892,852,492
2/5/2020,27635,1124,564
2/6/2020,30794,1487,634
2/7/2020,34391,2011,719
2/8/2020,37120,2616,806
2/9/2020,40150,3244,906
2/10/2020,42762,3946,1013
2/11/2020,44802,4683,1113
2/12/2020,45221,5150,1118
2/13/2020,60368,6295,1371
2/14/2020,66885,8058,1523
2/15/2020,69030,9395,1666
2/16/2020,71224,10865,1770
2/17/2020,73258,12583,1868
2/18/2020,75136,14352,2007
2/19/2020,75639,16121,2122
2/20/2020,76197,18177,2247
2/21/2020,76819,18890,2251
2/22/2020,78572,22886,2458
2/23/2020,78958,23394,2469
2/24/2020,79561,25227,2629
2/25/2020,80406,27905,2708
2/26/2020,81388,30384,2770
2/27/2020,82746,33277,2814
2/28/2020,84112,36711,2872
2/29/2020,86011,39782,2941
3/1/2020,88369,42716,2996
3/2/2020,90306,45602,3085
3/3/2020,92840,48228,3160
3/4/2020,95120,51170,3254
3/5/2020,97886,53796,3348
3/6/2020,101801,55865,3460
3/7/2020,105847,58358,3558
3/8/2020,109821,60694,3802
3/9/2020,113590,62494,3988
3/10/2020,118620,64404,4262
3/11/2020,125875,67003,4615
3/12/2020,128352,68324,4720
3/13/2020,145205,70251,5404
3/14/2020,156101,72624,5819
3/15/2020,167454,76034,6440
3/16/2020,181574,78088,7126
3/17/2020,197102,80840,7905
3/18/2020,214821,83312,8733
3/19/2020,242500,84975,9867
3/20/2020,272035,87420,11299
3/21/2020,304396,91692,12973
3/22/2020,336953,97899,14651
3/23/2020,378235,98351,16505
3/24/2020,418045,108000,18625
3/25/2020,467653,113787,21181
3/26/2020,529591,122150,23970
3/27/2020,593291,130915,27198
3/28/2020,660706,139415,30652
3/29/2020,720117,149082,33925
3/30/2020,782365,164566,37582
3/31/2020,857487,178034,42107
4/1/2020,932605,193177,46809
